patent_number,patent_title,patent_date,patent_num_claims,patent_num_combined_citations,inventor_last_name,inventor_first_name,assignee_organization
4686559,Topside sealing of integrated circuit device,1987-08-11,8,5,Haskell,Jacob D.,"Advanced Micro Devices, Inc."
4686763,Method of making a planar polysilicon bipolar device,1987-08-18,17,5,Weinberg,Matthew,"Advanced Micro Devices, Inc."
4687953,Dynamic ECL line driver circuit,1987-08-18,8,10,Varadarajan,Hemmige D.,"Advanced Micro Devices, Inc."
4688314,Method of making a planar MOS device in polysilicon,1987-08-25,17,6,Thomas,Mammen,"Advanced Micro Devices, Inc."
4689494,Redundancy enable/disable circuit,1987-08-25,14,9,Peng,Jieh-Ping,"Advanced Micro Devices, Inc."
4689495,CMOS high voltage switch,1987-08-25,15,7,Liu,Wei-Ti,"Advanced Micro Devices, Inc."
4689763,CMOS full adder circuit,1987-08-25,14,5,Fang,Sheng,"Advanced Micro Devices, Inc."
4691122,CMOS D-type flip-flop circuits,1987-09-01,8,5,Schnizlein,Paul G.,"Advanced Micro Devices, Inc."
4691193,"Methods and apparatus for encoding and decoding data to and from a (2,7) format",1987-09-01,32,2,Khu,Arthur H.,"Advanced Micro Devices, Inc."
4691747,Controlled deformation alignment method and apparatus,1987-09-08,4,6,Sokolovsky,Paul J.,"Advanced Micro Devices, Inc."
4692634,Selectable multi-input CMOS data register,1987-09-08,9,4,Fang,Sheng,"Advanced Micro Devices, Inc."
4692888,Method and apparatus for generating and summing the products of pairs of numbers,1987-09-08,5,4,New,Bernard J.,"Advanced Micro Devices, Inc."
4692894,Overflow/Underflow detection for elastic buffer,1987-09-08,9,8,Bemis,Gerald L.,"Advanced Micro Devices, Inc."
4693925,Integrated circuit structure having intermediate metal silicide layer,1987-09-15,10,4,Cheung,Robin W.,"Advanced Micro Devices, Inc."
4694205,Midpoint sense amplification scheme for a CMOS DRAM,1987-09-15,17,9,Shu,Lee-Lean,"Advanced Micro Devices, Inc."
4696095,Process for isolation using self-aligned diffusion process,1987-09-29,34,3,Thomas,Mammen,"Advanced Micro Devices, Inc."
4696098,Metallization technique for integrated circuit structures,1987-09-29,23,13,Yen,Yung-Chau,"Advanced Micro Devices, Inc."
4698523,Servo data demodulator,1987-10-06,19,3,Sterner,Rudolph J.,"Advanced Micro Devices, Inc."
4698831,CMOS incrementer cell suitable for high speed operations,1987-10-06,16,5,Vazir-Zadeh,Yousef,"Advanced Micro Devices, Inc."
4700370,"High speed, low power, multi-bit, single edge-triggered, wraparound, binary counter",1987-10-13,18,6,Banerjee,Pradip,"Advanced Micro Devices, Inc."
4703486,Communication data encoder/decoder component system architecture,1987-10-27,25,15,Bemis,Gerald L.,"Advanced Micro Devices, Inc."
4703495,High speed frequency divide-by-5 circuit,1987-10-27,6,8,Bereznak,Bradley J.,"Advanced Micro Devices, Inc."
4706266,Dual mode-increment/decrement N-bit counter register,1987-11-10,20,4,Qayyum,Asif,"Advanced Micro Devices, Inc."
4707456,Method of making a planar structure containing MOS and bipolar transistors,1987-11-17,17,5,Weinberg,Matthew,"Advanced Micro Devices, Inc."
4707457,Method for making improved contact for integrated circuit structure,1987-11-17,7,14,Erb,Darrell M.,"Advanced Micro Devices, Inc."
4709467,Non-selective implantation process for forming contact regions in integrated circuits,1987-12-01,7,5,Liu,Yowjuang,"Advanced Micro Devices, Inc."
4710922,"Apparatus and associated methods for converting serial data pattern signals transmitted or suitable for transmission over a high speed synchronous serial transmission media, to parallel pattern output signals",1987-12-01,26,5,Scott,Paul H.,"Advanced Micro Devices, Inc."
4710943,Starlan coded data transceiver collision detection circuit,1987-12-01,20,3,Duley,Raymond S.,"Advanced Micro Devices, Inc."
4712215,CRC calculation machine for separate calculation of checkbits for the header packet and data packet,1987-12-08,35,7,Iyer,Venkatraman R.,"Advanced Micro Devices, Inc."
4713605,Linear feedback shift register for circuit design technology validation,1987-12-15,7,1,Lee,Gil S.,"Advanced Micro Devices, Inc."
4714520,Method for filling a trench in an integrated circuit structure without producing voids,1987-12-22,18,9,Gwozdz,Peter S.,"Advanced Micro Devices, Inc."
4714686,Method of forming contact plugs for planarized integrated circuits,1987-12-22,6,10,Sander,Craig S.,"Advanced Micro Devices, Inc."
4714839,Control circuit for disabling or enabling the provision of redundancy,1987-12-22,12,5,Chung,Shine,"Advanced Micro Devices, Inc."
4714866,Rate-of-change signal generator using sampling techniques,1987-12-22,11,6,Sterner,Rudolph J.,"Advanced Micro Devices, Inc."
4714877,"Three-voltage level detector for indicating a high level, mid-level or low level voltage",1987-12-22,16,10,Kong,Samuel K.,"Advanced Micro Devices, Inc."
4716381,High-current operational amplifier,1987-12-29,4,4,Campbell,David L.,"Advanced Micro Devices, Inc."
4716467,Speed-up method and apparatus for two-dimensional facsimile coding and decoding,1987-12-29,10,5,Menon,Vinod K.,"Advanced Micro Devices, Inc."
4716552,Method and apparatus for non-destructive access of volatile and non-volatile data in a shadow memory array,1987-12-29,18,2,Yau,Robert L.,"Advanced Micro Devices, Inc."
4717912,Apparatus for producing any one of a plurality of signals at a single output,1988-01-05,35,10,Harvey,Paul W.,"Advanced Micro Devices, Inc."
4717914,Methods for receiving and converting high speed serial data pattern input signals to parallel data pattern outputs,1988-01-05,12,5,Scott,Paul H.,"Advanced Micro Devices, Inc."
4718057,Streamlined digital signal processor,1988-01-05,9,4,Laugesen,Ronald C.,"Advanced Micro Devices, Inc."
