accum,min,max,wind,yesterdays_high,closed
687,0.0,45.71,64.58,10.5,47.78,0
688,0.0,54.25,58.81,0.74,64.58,0
689,0.0,53.72,72.04,7.77,58.81,0
690,0.0,41.39,61.12,11.35,72.04000000000002,0
692,0.0,37.36,54.24,1.23,50.44,0
693,0.0,44.26,62.93,12.42,54.24,0
694,0.0,56.82,73.99,13.27,62.93,0
695,0.0,44.47,59.97,10.55,73.98999999999998,0
697,0.0,46.18,70.95,5.82,62.93,0
698,0.0,49.89,58.62,1.4,70.95,0
699,0.0,52.15,73.47,10.15,58.62,0
700,0.0,60.94,71.23,12.18,73.47,0
702,0.0,46.22,52.08,3.15,59.13,0
706,0.0,33.96,43.78,3.38,59.91,0
707,0.0,33.92,47.08,4.66,43.78,0
708,0.0,42.18,55.13,9.61,47.08,0
709,0.0,45.12,59.54,4.64,55.13,0
711,0.0,28.58,43.31,7.96,41.39,0
712,0.0,32.04,43.81,1.61,43.31,0
715,0.0,32.82,43.57,4.96,36.7,0
716,0.0,39.89,50.59,1.61,43.57,0
717,0.0,41.8,51.05,12.32,50.59,0
718,0.0,37.25,47.61,9.92,51.05,0
720,0.0,37.83,43.73,9.46,55.11,0
721,0.0,37.35,45.36,4.37,43.73,0
722,0.0,44.58,56.84,5.28,45.36,0
723,0.0,45.3,57.43,6.74,56.84,0
725,0.0,48.95,59.59,11.39,55.29,0
726,0.0,38.31,47.76,5.27,59.59,0
727,0.0,39.51,51.47,7.23,47.76,0
728,0.0,39.12,51.2,8.45,51.47,0
731,0.0,19.41,32.0,16.62,24.78,0
732,0.0,21.42,31.68,13.27,32.0,0
733,0.0,19.08,29.94,10.67,31.68,0
735,0.0,29.8,50.68,13.14,35.15,0
736,0.0,32.08,44.92,10.66,50.68,0
737,0.0,26.32,41.77,6.5,44.92,0
738,0.0,34.17,39.68,5.36,41.77,0
740,0.0,35.13,49.03,2.91,62.87,0
741,0.0,36.61,56.85,13.22,49.03,0
742,0.0,45.22,56.31,6.06,56.85,0
